Agency,State,State_id
De Queen Police Department,Arkansas,4
De Witt Police Department,Arkansas,4
Decatur Police Department,Arkansas,4
Damascus Police Department,Arkansas,4
Dermott Police Department,Arkansas,4
Des Arc Police Department,Arkansas,4
Diamond City Police Department,Arkansas,4
Diaz Police Department,Arkansas,4
Dierks Police Department,Arkansas,4
Dover Police Department,Arkansas,4
Dumas Police Department,Arkansas,4
Earle Police Department [6],Arkansas,4
East Camden Police Department,Arkansas,4
El Dorado Police Department,Arkansas,4
Elaine Police Department,Arkansas,4
Elkins Police Department,Arkansas,4
England Police Department,Arkansas,4
Eudora Police Department,Arkansas,4
Eureka Springs Police Department,Arkansas,4
Fairfield Bay Police Department,Arkansas,4
Farmington Police Department,Arkansas,4
Fayetteville Police Department[7],Arkansas,4
Flippin Police Department,Arkansas,4
Fordyce Police Department,Arkansas,4
Foreman City Marshall's Office,Arkansas,4
Forrest City Police Department,Arkansas,4
Fort Smith Police Department [8],Arkansas,4
Fouke Police Department,Arkansas,4
Gassville Police Department,Arkansas,4
Gentry Police Department,Arkansas,4
Gillett Police Department,Arkansas,4
Glenwood Police Department,Arkansas,4
Gosnell Police Department,Arkansas,4
Gould Police Department,Arkansas,4
Grady Police Department,Arkansas,4
Grannis Police Department,Arkansas,4
Gravette Police Department,Arkansas,4
Green Forest Police Department,Arkansas,4
Greenbrier Police Department,Arkansas,4
Greenland Police Department,Arkansas,4
Greenwood Police Department,Arkansas,4
Greers Ferry Police Department,Arkansas,4
Gurdon Police Department,Arkansas,4
Guy Police Department,Arkansas,4
Hackett Police Department,Arkansas,4
Hamburg Police Department,Arkansas,4
Hampton Police Department,Arkansas,4
Hardy Police Department,Arkansas,4
Harrisburg Police Department,Arkansas,4
Harrison Police Department,Arkansas,4
Hartford Police Department,Arkansas,4
Haskell Police Department,Arkansas,4
Hazen Police Department,Arkansas,4
Heber Springs Police Department,Arkansas,4
Helena Police Department,Arkansas,4
Helena-West Helena Police Department,Arkansas,4
Hermitage Police Department,Arkansas,4
Holly Grove Police Department,Arkansas,4
Hope Police Department,Arkansas,4
Horseshoe Bend Police Department,Arkansas,4
Hot Springs Police Department,Arkansas,4
Hot Springs Village Police Department,Arkansas,4
Hoxie Police Department,Arkansas,4
Hughes Police Department,Arkansas,4
Humphrey Police Department,Arkansas,4
Huntsville Police Department,Arkansas,4
Huttig Police Department,Arkansas,4
Jacksonville Police Department,Arkansas,4
Johnson Police Department,Arkansas,4
Joiner Police Department,Arkansas,4
Jonesboro Police Department,Arkansas,4
Judsonia Police Department,Arkansas,4
Junction City Police Department,Arkansas,4
Keiser Police Department,Arkansas,4
Kensett Police Department,Arkansas,4
Kingsland Police Department,Arkansas,4
Lake City Police Department,Arkansas,4
Lake Village Police Department,Arkansas,4
Lakeview Police Department,Arkansas,4
Lamar Police Department,Arkansas,4
Lavaca Police Department,Arkansas,4
Leachville Police Department,Arkansas,4
Lepanto Police Department,Arkansas,4
Lincoln Police Department,Arkansas,4
Little Rock Police Department [9],Arkansas,4
London Police Department[citation needed],Arkansas,4
Lonoke Police Department [10],Arkansas,4
Lowell Police Department [11],Arkansas,4
Luxora Police Department[citation needed],Arkansas,4
Madison Police Department[citation needed],Arkansas,4
Magazine Police Department[citation needed],Arkansas,4
Magnolia Police Department,Arkansas,4
Malvern Police Department,Arkansas,4
Manila Police Department,Arkansas,4
Mansfield Police Department,Arkansas,4
Marianna Police Department,Arkansas,4
Marion Police Department,Arkansas,4
Marked Tree Police Department,Arkansas,4
Marmaduke Police Department,Arkansas,4
Marshall Police Department,Arkansas,4
Marvell Police Department,Arkansas,4
Maumelle Police Department,Arkansas,4
Mayflower Police Department,Arkansas,4
Maynard Police Department,Arkansas,4
McCrory Police Department,Arkansas,4
McGehee Police Department,Arkansas,4
McRae Police Department,Arkansas,4
Mena Police Department,Arkansas,4
Menifee Police Department,Arkansas,4
Mineral Springs Police Department,Arkansas,4
Monette Police Department,Arkansas,4
Monticello Police Department,Arkansas,4
Morrilton Police Department,Arkansas,4
Mt Ida Police Department,Arkansas,4
Mountain Home Police Department,Arkansas,4
Mountain View Police Department,Arkansas,4
Mountainburg Police Department,Arkansas,4
Mulberry Police Department,Arkansas,4
Murfreesboro Police Department,Arkansas,4
Nashville Police Department,Arkansas,4
Newark Police Department,Arkansas,4
Newport Police Department,Arkansas,4
Norphlet Police Department,Arkansas,4
North Little Rock Police Department,Arkansas,4
Ola Police Department,Arkansas,4
Osceola Police Department,Arkansas,4
Ozark Police Department,Arkansas,4
Palestine Police Department,Arkansas,4
Pangburn Police Department,Arkansas,4
Paragould Police Department,Arkansas,4
Paris Police Department,Arkansas,4
Parkin Police Department,Arkansas,4
Pea Ridge Police Department,Arkansas,4
Perryville Police Department,Arkansas,4
Piggott Police Department,Arkansas,4
Pine Bluff Police Department,Arkansas,4
Plumerville Police Department,Arkansas,4
Pocahontas Police Department,Arkansas,4
Portland Police Department,Arkansas,4
Prairie Grove Police Department,Arkansas,4
Prescott Police Department,Arkansas,4
Quitman Police Department,Arkansas,4
Rector Police Department,Arkansas,4
Redfield Police Department,Arkansas,4
Rison Police Department,Arkansas,4
Rockport Police Department,Arkansas,4
Rogers Police Department,Arkansas,4
Rose Bud Police Department,Arkansas,4
Russellville Police Department,Arkansas,4
Salem Police Department,Arkansas,4
Searcy Police Department,Arkansas,4
Shannon Hills Police Department,Arkansas,4
Sheridan Police Department,Arkansas,4
Sherwood Police Department,Arkansas,4
Siloam Springs Police Department,Arkansas,4
Smackover Police Department,Arkansas,4
Springdale Police Department,Arkansas,4
Stamps Police Department,Arkansas,4
Star City Police Department,Arkansas,4
Stephens Police Department,Arkansas,4
Strong Police Department,Arkansas,4
Stuttgart Police Department,Arkansas,4
Sulphur Springs Police Department,Arkansas,4
Summitt Police Department,Arkansas,4
Swifton Police Department,Arkansas,4
Taylor Police Department,Arkansas,4
Texarkana Police Department,Arkansas,4
Township 13 Constable,Arkansas,4
Trumann Police Department,Arkansas,4
Tuckerman Police Department,Arkansas,4
Turrell Police Department,Arkansas,4
Tyronza Police Department,Arkansas,4
Van Buren Police Department,Arkansas,4
Vilonia Police Department,Arkansas,4
Waldo Police Department,Arkansas,4
Waldron Police Department,Arkansas,4
Walnut Ridge Police Department,Arkansas,4
Ward Police Department,Arkansas,4
Warren Police Department,Arkansas,4
Washington County Constable Dist 9,Arkansas,4
Washington County Constable Dist 12,Arkansas,4
Weiner-Poinsett County Police Department,Arkansas,4
West Fork Police Department,Arkansas,4
West Memphis Police Department,Arkansas,4
Wheatley Police Department,Arkansas,4
White Hall Police Department,Arkansas,4
Widener Police Department,Arkansas,4
Wilmot Police Department,Arkansas,4
Wynne Police Department,Arkansas,4
Office of the Attorney General,California,5
California Department of Justice,California,5
California Bureau of Firearms - Special Agents,California,5
California Bureau of Forensic Services,California,5
California Bureau of Gambling Control - Special Agents,California,5
California Employment Development Department,California,5
Bureau of Investigation - Special Agents,California,5
California Bureau of Medi-Cal Fraud & Elder Abuse - Special Agents,California,5
California Department of Corrections and Rehabilitation,California,5
California Office of Correctional Safety - State Fugitive Apprehension Teams & Special Service Unit,California,5
California Department of Developmental Services,California,5
Office of Protective Services,California,5
California Department of State Hospitals,California,5
California State Hospital Police Officers,California,5
California Department of Fish and Wildlife,California,5
Game Wardens,California,5
California Highway Patrol,California,5
California State Parks,California,5
California State Park Rangers,California,5
California Department of Alcoholic Beverage Control,California,5
Department of Insurance,California,5
California Department of Motor Vehicles,California,5
Franchise Tax Board,California,5
California Lottery Security and Law Enforcement Division,California,5
"California Department of Consumer Affairs, Division of Investigation",California,5
California Department of Forestry and Fire Protection,California,5
California Department of Health Care Services,California,5
Adelanto Police Department,California,5
Alameda Police Department,California,5
Alhambra Police Department,California,5
Anaheim Police Department,California,5
Antioch Police Department[3],California,5
Arcadia Police Department,California,5
Arcata Police Department,California,5
Arvin Police Department,California,5
Atascadero Police Department,California,5
Auburn Police Department,California,5
Azusa Police Department,California,5
Bakersfield Police Department [4],California,5
Baldwin Park Police Department,California,5
Banning Police Department,California,5
Barstow Police Department,California,5
Beaumont Police Department,California,5
Bell Gardens Police Department,California,5
Bell Police Department,California,5
Belmont Police Department,California,5
Berkeley Police Department,California,5
Beverly Hills Police Department,California,5
Bishop Police Department[5],California,5
Blythe Police Department,California,5
Brawley Police Department,California,5
Brea Police Department,California,5
Buena Park Police Department,California,5
Burbank Police Department,California,5
Burlingame Police Department,California,5
Calexico Police Department,California,5
California City Police Department,California,5
Calipatria Police Department,California,5
Campbell Police Department,California,5
Capitola Police Department,California,5
Carlsbad Police Department,California,5
Carmel-by-the-Sea Police Department [6],California,5
Cathedral City Police Department,California,5
Ceres Police Department,California,5
Chico Police Department,California,5
Chino Police Department,California,5
Chula Vista Police Department,California,5
Citrus Heights Police Department,California,5
Claremont Police Department,California,5
Clovis Police Department,California,5
Coachella Police Department,California,5
Colton Police Department,California,5
Concord Police Department,California,5
Corcoran Police Department,California,5
Corona Police Department,California,5
Coronado Police Department,California,5
Costa Mesa Police Department,California,5
Covina Police Department,California,5
Culver City Police Department,California,5
Cypress Police Department,California,5
Davis Police Department,California,5
Delano Police Department,California,5
Desert Hot Springs Police Department,California,5
Dinuba Police Department,California,5
Dixon Police Department,California,5
Downey Police Department,California,5
East Palo Alto Police Department,California,5
El Cajon Police Department,California,5
El Centro Police Department,California,5
El Cerrito Police Department,California,5
El Monte Police Department,California,5
El Segundo Police Department,California,5
Elk Grove Police Department,California,5
Emeryville Police Department,California,5
Escondido Police Department,California,5
Eureka Police Department,California,5
Exeter Police Department,California,5
Fairfax Police Department,California,5
Fairfield Police Department [7],California,5
Farmersville Police Department,California,5
Folsom Police Department,California,5
Fontana Police Department,California,5
Fortuna Police Department,California,5
Foster City Police Department,California,5
Fountain Valley Police Department,California,5
Fresno Police Department [8],California,5
Fremont Police Department,California,5
Fullerton Police Department,California,5
Galt Police Department,California,5
Gardena Police Department,California,5
Garden Grove Police Department,California,5
Gilroy Police Department [9],California,5
Glendale Police Department,California,5
Glendora Police Department [10],California,5
Grass Valley Police Department,California,5
Greenfield Police Department,California,5
Hanford Police Department,California,5
Hawthorne Police Department,California,5
Hayward Police Department [11],California,5
Healdsburg Police Department,California,5
Hercules Police Department[12],California,5
Hillsdale Police Department,California,5
Holtville Police Department,California,5
Huntington Beach Police Department,California,5
Huntington Park Police Department,California,5
Huron Police Department,California,5
Imperial Police Department,California,5
Indio Police Department [13],California,5
Inglewood Police Department,California,5
Irvine Police Department,California,5
Irwindale Beach Police Department,California,5
Kensington Police Department [14],California,5
Kerman Police Department,California,5
King City Police Department [15],California,5
Laguna Beach Police Department,California,5
La Mesa Police Department[16],California,5
La Palma Police Department,California,5
La Quinta Police Department,California,5
La Verne Police Department,California,5
Lemoore Police Department (California) [17],California,5
Lindsay Public Safety Department,California,5
Livermore Police Department,California,5
Lodi Police Department,California,5
Lompoc Police Department [18],California,5
Long Beach Police Department,California,5
Los Alamitos Police Department,California,5
Los Altos Police Department,California,5
City of Los Angeles,California,5
Los Angeles Police Department,California,5
Los Angeles Airport Police,California,5
"Los Angeles Bureau of Street Services, Investigation and Enforcement Division",California,5
Los Gatos Police Department,California,5
Mammoth Lakes Police Department,California,5
Manhattan Beach Police Department,California,5
Manteca Police Department,California,5
Maricopa Police Department,California,5
Marina Police Department [19],California,5
Marysville Police Department [20],California,5
Maywood-Cudahy Police Department,California,5
McFarland Police Department,California,5
Menlo Park Police Department,California,5
Mendota Police Department,California,5
Merced Police Department,California,5
Milpitas Police Department,California,5
Millbrae Police Department,California,5
Modesto Police Department,California,5
Monrovia Police Department,California,5
Montclair Police Department,California,5
Montebello Police Department,California,5
Monterey Police Department,California,5
Monterey Park Police Department,California,5
Morgan Hill Police Department,California,5
Morro Bay Police Department,California,5
Mountain View Police Department,California,5
Murrieta Police Department,California,5
National City Police Department,California,5
Napa Police Department [21],California,5
Newark Police Department,California,5
Newport Beach Police Department,California,5
City of Oakland,California,5
Oakland Police Department,California,5
Oakland Housing Authority Police Department,California,5
Oakdale Police Department,California,5
Oceanside Police Department,California,5
Ontario Police Department,California,5
Orange Police Department,California,5
Orange Grove Police Department,California,5
Oroville Police Department,California,5
Oxnard Police Department,California,5
Pacifica Police Department,California,5
Pacific Grove Police Department,California,5
Palm Springs Police Department,California,5
Palo Alto Police Department,California,5
Palos Verdes Estates Police Department,California,5
Paradise Police Department,California,5
Pasadena Police Department,California,5
Paso Robles Police Department,California,5
Pinole Police Department,California,5
Pismo Beach Police Department,California,5
Placentia Police Department,California,5
Pleasanton Police Department,California,5
Pomona Police Department [22],California,5
Port Hueneme Police Department,California,5
Redlands Police Department,California,5
Redondo Beach Police Department,California,5
Redwood City Police Department,California,5
Rialto Police Department,California,5
Richmond Police Department,California,5
Ridgecrest Police Department,California,5
Rio Dell Police Department,California,5
Rio Vista Police Department,California,5
Ripon Police Department,California,5
Riverside Police Department,California,5
Rocklin Police Department,California,5
Roseville Police Department,California,5
Sacramento Police Department,California,5
Salinas Police Department,California,5
San Anselmo Police Department,California,5
San Bernardino Police Department,California,5
San Diego Police Department,California,5
Sand City Police Department,California,5
San Fernando Police Department,California,5
City of San Francisco,California,5
San Francisco Police Department,California,5
San Francisco Patrol Special Police,California,5
San Gabriel Police Department,California,5
San Jose Police Department,California,5
San Leandro Police Department [23],California,5
San Lorenzo Police Department,California,5
San Luis Obispo Police Department,California,5
San Marino Police Department,California,5
San Mateo Police Department,California,5
San Pablo Police Department [24],California,5
San Rafael Police Department,California,5
San Ramon Police Department,California,5
Santa Ana Police Department,California,5
Santa Barbara Police Department,California,5
Santa Clara Police Department,California,5
Santa Cruz Police Department,California,5
Santa Maria Police Department,California,5
Santa Monica Police Department,California,5
Santa Paula Police Department,California,5
Santa Rosa Police Department,California,5
Sand City Police Department,California,5
Scotts Valley Police Department,California,5
Seal Beach Police Department,California,5
Seaside Police Department,California,5
Sebastopol Police Department,California,5
Shafter Police Department,California,5
Sierra Madre Police Department,California,5
Signal Hill Police Department,California,5
Simi Valley Police Department,California,5
Sonora Police Department,California,5
South Gate Police Department [25],California,5
South Lake Tahoe Police Department,California,5
South Pasadena Police Department,California,5
South San Francisco Police Department,California,5
Stockton Police Department [26],California,5
Sunnyvale Department of Public Safety,California,5
Taft Police Department,California,5
Tehachapi Police Department,California,5
Torrance Police Department,California,5
Tracy Police Department,California,5
Truckee Police Department,California,5
Tulare Police Department,California,5
Turlock Police Department,California,5
Tustin Police Department,California,5
Ukiah Police Department,California,5
Union City Police Department,California,5
Upland Police Department[27],California,5
Vacaville Police Department,California,5
Vallejo Police Department,California,5
Ventura Police Department,California,5
Vernon Police Department,California,5
Visalia Police Department,California,5
Walnut Creek Police Department[28],California,5
Watsonville Police Department,California,5
West Covina Police Department,California,5
West Sacramento Police Department,California,5
Westminster Police Department,California,5
Westmoreland Police Department,California,5
Whittier Police Department [29],California,5
Winters Police Department,California,5
Woodlake Police Department,California,5
Woodland Police Department,California,5
Weed Police Department,California,5
Yuba City Police Department,California,5
Yreka Police Department,California,5
Colorado Department of Corrections [2][3][4],Colorado,6
Colorado Division of Youth Corrections [5][6],Colorado,6
Colorado Department of Public Safety,Colorado,6
Colorado State Patrol,Colorado,6
Colorado Bureau of Investigation,Colorado,6
Alamosa Police Department,Colorado,6
Arvada Police Department,Colorado,6
Aspen Police Department,Colorado,6
Ault Police Department,Colorado,6
Avon Police Department,Colorado,6
Bayfield Marshal's Office,Colorado,6
Black Hawk Police Department,Colorado,6
Berthoud Police Department (Disbanded 2014) [8],Colorado,6
Boulder Police Department,Colorado,6
Breckenridge Police Department,Colorado,6
Bow Mar Police Department,Colorado,6
Brighton Police Department,Colorado,6
Broomfield Police Department,Colorado,6
Brush Police Department,Colorado,6
Buena Vista Police Department,Colorado,6
Burlington Police Department,Colorado,6
Calhan Police Department,Colorado,6
Canon City Police Department,Colorado,6
Castle Rock Police Department,Colorado,6
Colorado Springs Police Department,Colorado,6
Cortez Police Department,Colorado,6
Craig Police Department,Colorado,6
Cripple Creek Police Department,Colorado,6
Columbine Valley Police Department,Colorado,6
